employee_id,location,start_est,end_est,start_utc,end_utc,duration_hours,shift_template,shift_type,work_category,shift_sequence_number,rest_hours,days_since_last_shift,consecutive_days,hours_worked_last_7_shifts,hours_worked_last_14_shifts,hours_worked_last_7_days,hours_worked_last_14_days,night_shifts_last_14_shifts,night_shifts_last_14_days,day_of_week,day_of_month,month,week_of_year,is_weekend,local_start_hour,estimated_ticket_load,workload_intensity,match_quality
CAN_01,Canada,2025-01-02 08:00:00,2025-01-02 16:00:00,2025-01-02 13:00:00,2025-01-02 21:00:00,8.0,9. Weekend1 CA,day,canada,1,48.0,2.0,1,8.0,8.0,8.0,8.0,0,0,3,2,1,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-03 08:00:00,2025-01-03 16:00:00,2025-01-03 13:00:00,2025-01-03 21:00:00,8.0,9. Weekend1 CA,day,canada,2,16.0,0.6666666666666666,2,16.0,16.0,16.0,16.0,0,0,4,3,1,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-06 08:00:00,2025-01-06 16:00:00,2025-01-06 13:00:00,2025-01-06 21:00:00,8.0,9. Weekend1 CA,day,canada,3,64.0,2.6666666666666665,1,24.0,24.0,24.0,24.0,0,0,0,6,1,2,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-07 08:00:00,2025-01-07 16:00:00,2025-01-07 13:00:00,2025-01-07 21:00:00,8.0,9. Weekend1 CA,day,canada,4,16.0,0.6666666666666666,2,32.0,32.0,32.0,32.0,0,0,1,7,1,2,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-08 08:00:00,2025-01-08 16:00:00,2025-01-08 13:00:00,2025-01-08 21:00:00,8.0,9. Weekend1 CA,day,canada,5,16.0,0.6666666666666666,3,40.0,40.0,40.0,40.0,0,0,2,8,1,2,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-09 08:00:00,2025-01-09 16:00:00,2025-01-09 13:00:00,2025-01-09 21:00:00,8.0,9. Weekend1 CA,day,canada,6,16.0,0.6666666666666666,4,48.0,48.0,40.0,48.0,0,0,3,9,1,2,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-10 08:00:00,2025-01-10 16:00:00,2025-01-10 13:00:00,2025-01-10 21:00:00,8.0,9. Weekend1 CA,day,canada,7,16.0,0.6666666666666666,5,56.0,56.0,40.0,56.0,0,0,4,10,1,2,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-13 08:00:00,2025-01-13 16:00:00,2025-01-13 13:00:00,2025-01-13 21:00:00,8.0,9. Weekend1 CA,day,canada,8,64.0,2.6666666666666665,1,56.0,64.0,40.0,64.0,0,0,0,13,1,3,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-14 08:00:00,2025-01-14 16:00:00,2025-01-14 13:00:00,2025-01-14 21:00:00,8.0,9. Weekend1 CA,day,canada,9,16.0,0.6666666666666666,2,56.0,72.0,40.0,72.0,0,0,1,14,1,3,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-15 08:00:00,2025-01-15 16:00:00,2025-01-15 13:00:00,2025-01-15 21:00:00,8.0,9. Weekend1 CA,day,canada,10,16.0,0.6666666666666666,3,56.0,80.0,40.0,80.0,0,0,2,15,1,3,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-16 08:00:00,2025-01-16 12:00:00,2025-01-16 13:00:00,2025-01-16 17:00:00,4.0,Custom/Unmatched,day,unmatched,11,16.0,0.6666666666666666,4,52.0,84.0,36.0,76.0,0,0,3,16,1,3,False,8,1.0,0.25,inferred
CAN_01,Canada,2025-01-17 08:00:00,2025-01-17 16:00:00,2025-01-17 13:00:00,2025-01-17 21:00:00,8.0,9. Weekend1 CA,day,canada,12,20.0,0.8333333333333334,5,52.0,92.0,36.0,76.0,0,0,4,17,1,3,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-20 08:00:00,2025-01-20 16:00:00,2025-01-20 13:00:00,2025-01-20 21:00:00,8.0,9. Weekend1 CA,day,canada,13,64.0,2.6666666666666665,1,52.0,100.0,36.0,76.0,0,0,0,20,1,4,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-21 08:00:00,2025-01-21 16:00:00,2025-01-21 13:00:00,2025-01-21 21:00:00,8.0,9. Weekend1 CA,day,canada,14,16.0,0.6666666666666666,2,52.0,108.0,36.0,76.0,0,0,1,21,1,4,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-22 08:00:00,2025-01-22 16:00:00,2025-01-22 13:00:00,2025-01-22 21:00:00,8.0,9. Weekend1 CA,day,canada,15,16.0,0.6666666666666666,3,52.0,108.0,36.0,76.0,0,0,2,22,1,4,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-23 08:00:00,2025-01-23 16:00:00,2025-01-23 13:00:00,2025-01-23 21:00:00,8.0,9. Weekend1 CA,day,canada,16,16.0,0.6666666666666666,4,52.0,108.0,40.0,76.0,0,0,3,23,1,4,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-24 08:00:00,2025-01-24 16:00:00,2025-01-24 13:00:00,2025-01-24 21:00:00,8.0,9. Weekend1 CA,day,canada,17,16.0,0.6666666666666666,5,52.0,108.0,40.0,76.0,0,0,4,24,1,4,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-27 08:00:00,2025-01-27 16:00:00,2025-01-27 13:00:00,2025-01-27 21:00:00,8.0,9. Weekend1 CA,day,canada,18,64.0,2.6666666666666665,1,56.0,108.0,40.0,76.0,0,0,0,27,1,5,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-28 08:00:00,2025-01-28 16:00:00,2025-01-28 13:00:00,2025-01-28 21:00:00,8.0,9. Weekend1 CA,day,canada,19,16.0,0.6666666666666666,2,56.0,108.0,40.0,76.0,0,0,1,28,1,5,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-29 08:00:00,2025-01-29 16:00:00,2025-01-29 13:00:00,2025-01-29 21:00:00,8.0,9. Weekend1 CA,day,canada,20,16.0,0.6666666666666666,3,56.0,108.0,40.0,76.0,0,0,2,29,1,5,False,8,1.0,0.125,exact
