employee_id,location,start_utc,end_utc,duration_hours,position,shift_type,work_category,rest_hours,consecutive_days,hours_worked_last_7d,hours_worked_last_14d,shifts_last_7d,night_shifts_last_14d,day_of_week,day_of_month,month,is_weekend,start_hour_local,estimated_ticket_load,workload_intensity,match_quality
CAN_01,Canada,2025-01-02 13:00:00,2025-01-02 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,48.0,1,8.0,8.0,1,0,3,2,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-03 13:00:00,2025-01-03 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2,16.0,16.0,2,0,4,3,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-06 13:00:00,2025-01-06 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1,24.0,24.0,3,0,0,6,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-07 13:00:00,2025-01-07 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2,32.0,32.0,4,0,1,7,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-08 13:00:00,2025-01-08 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,3,40.0,40.0,5,0,2,8,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-09 13:00:00,2025-01-09 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,4,48.0,48.0,6,0,3,9,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-10 13:00:00,2025-01-10 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,5,56.0,56.0,7,0,4,10,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-13 13:00:00,2025-01-13 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1,56.0,64.0,7,0,0,13,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-14 13:00:00,2025-01-14 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2,56.0,72.0,7,0,1,14,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-15 13:00:00,2025-01-15 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,3,56.0,80.0,7,0,2,15,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-16 13:00:00,2025-01-16 17:00:00,4.0,Custom/Unmatched,day,unmatched,16.0,4,52.0,84.0,7,0,3,16,1,False,8,1.0,0.25,inferred
CAN_01,Canada,2025-01-17 13:00:00,2025-01-17 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,20.0,5,52.0,92.0,7,0,4,17,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-20 13:00:00,2025-01-20 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1,52.0,100.0,7,0,0,20,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-21 13:00:00,2025-01-21 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2,52.0,108.0,7,0,1,21,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-22 13:00:00,2025-01-22 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,3,52.0,108.0,7,0,2,22,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-23 13:00:00,2025-01-23 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,4,52.0,108.0,7,0,3,23,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-24 13:00:00,2025-01-24 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,5,52.0,108.0,7,0,4,24,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-27 13:00:00,2025-01-27 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1,56.0,108.0,7,0,0,27,1,False,8,1.0,0.125,exact
CAN_01,Canada,2025-01-28 13:00:00,2025-01-28 21:00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2,56.0,108.0,7,0,1,28,1,False,8,1.0,0.125,exact
