employee_id,location,start_utc,end_utc,duration_hours,position,shift_type,work_category,rest_hours,consecutive_days,hours_worked_last_7d,hours_worked_last_14d,shifts_last_7d,night_shifts_last_14d,day_of_week,day_of_month,month,is_weekend,start_hour_local,estimated_ticket_load,workload_intensity,match_quality,start_hour,consecutive_days_lag,weekend_shifts_last_14d,shift_day,shift_evening,shift_night,rest_penalty,consec_penalty,night_penalty,hours7d_penalty,weekend_penalty,shift_penalty,fatigue_index,predicted_fatigue
CAN_01,Canada,2025-01-02 13:00:00+00:00,2025-01-02 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,48.0,1.0,0.0,8.0,1,0.0,3,2,1,0,8,1.0,0.125,exact,8,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CAN_01,Canada,2025-01-03 13:00:00+00:00,2025-01-03 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2.0,8.0,16.0,2,0.0,4,3,1,0,8,1.0,0.125,exact,8,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CAN_01,Canada,2025-01-06 13:00:00+00:00,2025-01-06 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1.0,16.0,24.0,3,0.0,0,6,1,0,8,1.0,0.125,exact,8,2.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CAN_01,Canada,2025-01-07 13:00:00+00:00,2025-01-07 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2.0,24.0,32.0,4,0.0,1,7,1,0,8,1.0,0.125,exact,8,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CAN_01,Canada,2025-01-08 13:00:00+00:00,2025-01-08 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,3.0,32.0,40.0,5,0.0,2,8,1,0,8,1.0,0.125,exact,8,2.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CAN_01,Canada,2025-01-09 13:00:00+00:00,2025-01-09 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,4.0,40.0,48.0,6,0.0,3,9,1,0,8,1.0,0.125,exact,8,3.0,0.0,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.02857142857142857,
CAN_01,Canada,2025-01-10 13:00:00+00:00,2025-01-10 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,5.0,40.0,56.0,7,0.0,4,10,1,0,8,1.0,0.125,exact,8,4.0,0.0,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.02857142857142857,
CAN_01,Canada,2025-01-13 13:00:00+00:00,2025-01-13 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,64.0,1.0,40.0,64.0,7,0.0,0,13,1,0,8,1.0,0.125,exact,8,5.0,0.0,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.02857142857142857,
CAN_01,Canada,2025-01-14 13:00:00+00:00,2025-01-14 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,2.0,40.0,72.0,7,0.0,1,14,1,0,8,1.0,0.125,exact,8,1.0,0.0,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.02857142857142857,
CAN_01,Canada,2025-01-15 13:00:00+00:00,2025-01-15 21:00:00+00:00,8.0,9. Weekend1 CA MDR,day,canada,16.0,3.0,40.0,80.0,7,0.0,2,15,1,0,8,1.0,0.125,exact,8,2.0,0.0,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.02857142857142857,
